Parameters:
================================================================================================================================
Name                                                                    Shape                           Type            Grad
blocks.14.cross_attn.to_out.weight                                      torch.Size([1024, 1024])        torch.float16   True
blocks.14.cross_attn.to_out.bias                                        torch.Size([1024])              torch.float16   True
blocks.14.mlp.mlp.0.weight                                              torch.Size([4096, 1024])        torch.float16   True
blocks.14.mlp.mlp.0.bias                                                torch.Size([4096])              torch.float16   True
blocks.14.mlp.mlp.2.weight                                              torch.Size([1024, 4096])        torch.float16   True
blocks.14.mlp.mlp.2.bias                                                torch.Size([1024])              torch.float16   True
blocks.14.adaLN_modulation.1.weight                                     torch.Size([6144, 1024])        torch.float16   True
blocks.14.adaLN_modulation.1.bias                                       torch.Size([6144])              torch.float16   True
blocks.15.norm2.weight                                                  torch.Size([1024])              torch.float32   True
blocks.15.norm2.bias                                                    torch.Size([1024])              torch.float32   True
blocks.15.self_attn.to_qkv.weight                                       torch.Size([3072, 1024])        torch.float16   True
blocks.15.self_attn.to_qkv.bias                                         torch.Size([3072])              torch.float16   True
blocks.15.self_attn.q_rms_norm.gamma                                    torch.Size([16, 64])            torch.float32   True
blocks.15.self_attn.k_rms_norm.gamma                                    torch.Size([16, 64])            torch.float32   True
blocks.15.self_attn.to_out.weight                                       torch.Size([1024, 1024])        torch.float16   True
blocks.15.self_attn.to_out.bias                                         torch.Size([1024])              torch.float16   True
blocks.15.cross_attn.to_q.weight                                        torch.Size([1024, 1024])        torch.float16   True
blocks.15.cross_attn.to_q.bias                                          torch.Size([1024])              torch.float16   True
blocks.15.cross_attn.to_kv.weight                                       torch.Size([2048, 1024])        torch.float16   True
blocks.15.cross_attn.to_kv.bias                                         torch.Size([2048])              torch.float16   True
blocks.15.cross_attn.to_out.weight                                      torch.Size([1024, 1024])        torch.float16   True
blocks.15.cross_attn.to_out.bias                                        torch.Size([1024])              torch.float16   True
